uuid,filename,SessionDuration_seconds,NumFlows,MaxBandwidth_Mbps,MeanBandwidth_Mbps,MinBandwidth_Mbps,StdBandwidth_Mbps,MaxPacingRate_Mbps,MeanPacingRate_Mbps,MinRTT_ms,MaxRTT_ms,MeanRTT_ms,StdRTT_ms,MaxCwnd_packets,MeanCwnd_packets,MaxRcvWindow_bytes,MeanRcvWindow_bytes,TotalBytesAcked_bytes,TotalBytesSent_bytes,TotalBytesReceived_bytes,TotalRetransmissions_count,LossRate_percent,MaxDeliveryRate_Mbps,MeanDeliveryRate_Mbps,TotalBusyTime_microseconds,MaxThroughput_Mbps,MeanThroughput_Mbps,MinThroughput_Mbps,StdThroughput_Mbps
ndt-virtual-rgrwr_1701649381_00000000008A74E8,01_ndt7-download-20240101T054440.929548709Z.ndt-virtual-rgrwr_1701649381_00000000008A74E8.json,10.022375,31,20.910423,17.099972806451618,12.350662,2.432468806661241,58.509317,18.20494929032258,13.026,436.849,125.58670967741936,3.576903225806452,1520,1235.1935483870968,14200,14200.0,1713160765,1775985086,93136,533,1.1151517068539167,18.641537,9.808517677419355,153232000,106.13670875557027,93.29618268510428,83.84518002865126,7.241879460735978
ndt-virtual-rgrwr_1701649381_00000000008A2EE6,01_ndt7-download-20240101T054441.180546883Z.ndt-virtual-rgrwr_1701649381_00000000008A2EE6.json,11.178386,16,3.562317,2.9670942499999997,1.049686,0.67650250280399,6.718232,3.4533284375,73.8,673.363,235.265625,13.555812499999998,682,493.8125,14000,14000.0,129997992,142979744,34823,0,3.5888943821301007,3.408049,2.04103875,76448000,15.99380311943325,11.759150757371025,3.5012091382400636,3.5536331172535474
ndt-virtual-rgrwr_1701649381_00000000008A83FD,01_ndt7-download-20240101T054441.602561781Z.ndt-virtual-rgrwr_1701649381_00000000008A83FD.json,1.758094,3,1.567337,0.563749,0.0,0.7114445761186649,4.479217,1.7878483333333335,90.155,94.323,92.26066666666668,19.796333333333333,110,46.666666666666664,14200,14200.0,485082,942078,4858,73,18.84132736355164,0.780426,0.3214126666666666,1372000,4.435796621857834,1.9280194127724943,0.5764817478045348,1.7750577900090718
ndt-virtual-rgrwr_1701649381_00000000008A6D0E,01_ndt7-download-20240101T054441.671822254Z.ndt-virtual-rgrwr_1701649381_00000000008A6D0E.json,10.324078,23,50.850279,32.60792865217392,1.849024,19.22705622806149,135.171374,41.5164985652174,53.793,406.427,198.98143478260872,15.183652173913043,6339,3005.3478260869565,14000,14000.0,1615704487,1676500371,48457,12,0.02709477479739848,47.298253,17.27267573913043,105260000,159.89038359385995,109.66173783493409,6.123102846188599,48.48795919877162
ndt-virtual-rgrwr_1701649381_00000000008A83F5,01_ndt7-download-20240101T054441.788535387Z.ndt-virtual-rgrwr_1701649381_00000000008A83F5.json,15.000032,28,12.508738,12.380830535714285,12.231631,0.06930333616247286,35.00287,13.068146250000002,6.82,16.413,14.89367857142857,0.3621785714285714,258,178.25,14200,14200.0,1166711644,1217723724,69214,54,3.6369809610443298,12.362581,11.582105107142855,99852000,94.21269940095203,91.73464801295164,54.66237872604924,7.268942305759392
ndt-virtual-rgrwr_1701649381_00000000008A92B2,01_ndt7-download-20240101T054442.179915944Z.ndt-virtual-rgrwr_1701649381_00000000008A92B2.json,10.481071,16,2.924334,2.6448190625,1.906094,0.23926251114583033,5.447335,2.8400953125,36.662,300.15,143.64518750000002,23.226375,400,342.875,14000,14000.0,100601078,108520266,29830,33,3.007611499957068,2.6197,1.6692319375,69872000,12.475399868053422,10.937413172854086,6.34621431553155,1.763712011690144
ndt-virtual-rgrwr_1701649381_00000000008A3E39,01_ndt7-download-20240101T054443.346968496Z.ndt-virtual-rgrwr_1701649381_00000000008A3E39.json,4.894731,6,0.146478,0.054046166666666666,0.0,0.05040486330840397,0.418614,0.16304966666666665,425.578,834.613,722.7888333333334,121.92399999999999,143,58.5,14000,14000.0,545988,925968,11394,0,0.0,0.146552,0.054226166666666666,16128000,0.5111561474059191,0.24050350764938588,0.012230412230412229,0.16100715307745359
ndt-virtual-rgrwr_1701649381_00000000008A2EEA,01_ndt7-download-20240101T054443.532635691Z.ndt-virtual-rgrwr_1701649381_00000000008A2EEA.json,9.369314,30,49.52153,39.15434986666667,0.135116,13.31889984539001,131.183129,49.397239933333346,14.0,105.304,63.493633333333335,5.512133333333334,3148,2117.9666666666667,14000,14000.0,3579042113,3767415198,71961,1229,3.0042955727334197,43.75259,24.03936823333333,132512000,227.9724425924606,193.60905740469013,1.860808659662528,56.01756231961901
ndt-virtual-rgrwr_1701649381_00000000008A2EE8,01_ndt7-download-20240101T054445.664633189Z.ndt-virtual-rgrwr_1701649381_00000000008A2EE8.json,12.403848,11,0.257258,0.17709563636363637,0.039306,0.08166481756910403,0.674434,0.343911,153.779,807.753,375.1769090909091,46.34972727272728,88,66.45454545454545,14000,14000.0,5960244,6805172,22218,0,0.0,0.220718,0.11868681818181818,48608000,1.249742372818227,0.857952176960874,0.21940828440204177,0.35339296935392295
ndt-virtual-rgrwr_1701649381_00000000008A3E3B,01_ndt7-download-20240101T054446.450289524Z.ndt-virtual-rgrwr_1701649381_00000000008A3E3B.json,1.829313,9,37.484946,31.162496666666666,7.266047,10.242135672655733,104.84049,50.82385933333333,18.488,72.915,40.989555555555555,3.394222222222222,2370,1312.3333333333333,14000,14000.0,104062316,126330671,16474,605,6.231468524377584,36.685108,23.738739333333328,5804000,195.63315538941922,116.7739049016801,23.058010567838434,55.03554663397727
ndt-virtual-rgrwr_1701649381_00000000008A4DC0,01_ndt7-download-20240101T054447.111803896Z.ndt-virtual-rgrwr_1701649381_00000000008A4DC0.json,6.036651,17,4.490939,3.622872941176471,0.188869,1.2656226252992901,11.058089,4.228500176470589,35.869,182.82,108.3510588235294,6.402176470588236,442,346.11764705882354,14000,14000.0,126147058,132436884,35401,0,0.0,4.070628,2.893469941176471,44504000,26.1243658824361,18.50761959925999,1.9085067213171698,7.202788053590751
ndt-virtual-rgrwr_1701649381_00000000008A83F8,01_ndt7-download-20240101T054447.364012296Z.ndt-virtual-rgrwr_1701649381_00000000008A83F8.json,12.0692,18,1.386717,0.9806432777777778,0.262822,0.34691303227302844,1.37285,1.0065627222222222,57.727,169.317,95.54250000000002,7.623388888888889,212,131.77777777777777,14000,14000.0,60191774,68744458,57420,132,8.545718696334765,1.38079,0.7902371111111111,94788000,6.187087441566867,4.417649095148535,1.4581669624873947,1.4300558775440222
ndt-virtual-rgrwr_1701649381_00000000008A83FC,01_ndt7-download-20240101T054448.375516565Z.ndt-virtual-rgrwr_1701649381_00000000008A83FC.json,8.967709,37,46.491568,37.20181978378378,1.356296,7.74935251945469,57.533316,36.61943094594595,10.56,80.816,50.3462972972973,2.966918918918919,1982,1406.5405405405406,14000,14000.0,4967877906,5025969870,93857,0,0.0,34.482211,25.446203513513513,177184000,233.67609258629417,211.3236226015307,5.294296091173483,38.88132190281826
ndt-virtual-rgrwr_1701649381_00000000008A4DBF,01_ndt7-download-20240101T054449.946836940Z.ndt-virtual-rgrwr_1701649381_00000000008A4DBF.json,10.075645,43,36.725806,31.652922697674416,0.712977,7.217536698950873,104.956904,39.848280093023256,59.887,215.104,88.96300000000001,4.639232558139535,4562,2522.7906976744184,14200,14200.0,4142250848,4284322400,117743,89,0.39035372314651207,36.725871,21.409578023255815,230352000,158.1812562728628,127.96391094931545,2.5670826934084063,39.877559863405104
