BW,MinRTT,PacingGain,CwndGain,ElapsedTime,State,CAState,Retransmits,Probes,Backoff,Options,WScale,AppLimited,RTO,ATO,SndMSS,RcvMSS,Unacked,Sacked,Lost,Retrans,Fackets,LastDataSent,LastAckSent,LastDataRecv,LastAckRecv,PMTU,RcvSsThresh,RTT,RTTVar,SndSsThresh,SndCwnd,AdvMSS,Reordering,RcvRTT,RcvSpace,TotalRetrans,PacingRate,MaxPacingRate,BytesAcked,BytesReceived,SegsOut,SegsIn,NotsentBytes,DataSegsIn,DataSegsOut,DeliveryRate,BusyTime,RWndLimited,SndBufLimited,Delivered,DeliveredCE,BytesSent,BytesRetrans,DSackDups,ReordSeen,RcvOooPack,SndWnd,UUID,Throughput_DeliveryRate,Throughput_BytesAcked,Throughput_SegsOut,Latency,LossRatio,Retransmit_Ratio,Escape_Time,Throughput_Mean,Latency_Mean,Loss_Trend
12569904,18249,739,739,0.389576,1,3,0,0,0,7,122,0,260000,40000,1440,793,527,2,101,2,0,8,0,392,8,1500,64076,58538,3629,2147483647,426,1448,3,21000,14600,7,35922920,-1,2779347,1374,2469,307,2073600,3,2466,9481204,412000,0,0,1935,0,3548307,10080,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,75.849632,57.0742961578742,73.00983633488715,18.249,0.16057233704292528,0.0196078431372549,5.646828,68.64458816425379,18.249,0.0
12189416,18249,192,512,0.97195,1,0,0,0,0,7,122,0,232000,40000,1440,793,396,0,0,0,0,0,0,300,20,1500,64076,31807,3082,232,584,1448,3,21000,14600,207,9050642,-1,8787027,1421,6711,977,3252960,4,6708,5210462,992000,20000,0,6106,0,9655347,298080,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,41.683696,72.32493029476825,79.54186943772828,18.249,0.0,0.0,5.646828,64.51683191083218,18.249,-0.16057233704292528
13406238,18249,256,512,1.309638,1,0,0,0,0,7,122,0,244000,40000,1440,793,349,0,0,0,0,0,0,640,4,1500,64076,34802,926,232,852,1448,3,21000,14600,210,13272176,-1,12327987,1421,9126,1308,2695680,4,9123,11054168,1332000,20000,0,8565,0,13132947,302400,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,88.433344,75.30622660613085,80.27525163442111,18.249,0.0,0.0,5.646828,81.33827408018398,18.249,0.0
13406238,18249,256,512,1.425164,1,0,0,0,0,7,122,0,260000,40000,1440,793,607,0,0,0,0,0,0,756,8,1500,64076,53566,645,232,852,1448,3,21000,14600,210,13272176,-1,13524627,1421,10215,1425,2553120,4,10212,10635267,1448000,20000,0,9396,0,14701107,302400,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,85.082136,75.918993182539,82.5707076518913,18.249,0.0,0.0,5.646828,81.19061227814343,18.249,0.0
13406238,18249,256,512,1.596672,1,3,0,0,0,7,122,0,252000,40000,1440,793,99,0,0,0,0,0,0,164,4,1500,64076,47933,5536,232,770,1448,3,21000,14600,390,13272176,-1,15374739,1468,11172,1529,2993760,5,11169,6152137,1620000,80000,0,10681,0,16074867,561600,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,49.217096,77.03392556517556,80.60606060606061,18.249,0.0,0.0,5.646828,68.9523607237454,18.249,0.0
13406238,18249,256,512,1.95743,1,0,0,0,0,7,122,0,328000,40000,1440,793,681,0,0,0,0,0,0,132,4,1500,64076,46961,16169,232,1030,1448,3,21000,14600,417,13272176,-1,17733747,1515,13422,1719,2255040,6,13419,5388912,1980000,80000,0,12322,0,19314867,600480,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,43.111296,72.4776753191685,78.99206612752435,18.249,0.0,0.0,5.646828,64.86034581556429,18.249,0.0
11472129,18249,256,512,2.387041,1,0,0,0,0,7,122,0,248000,52000,1440,793,329,0,0,0,0,0,0,124,0,1500,64076,40001,417,232,712,1448,3,21000,14600,568,11357408,-1,22370547,1656,16449,2209,3503520,9,16446,10948379,2408000,124000,0,15550,0,23662227,817920,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,87.587032,74.97331466028443,79.38383965755092,18.249,0.0,0.0,5.646828,80.64806210594513,18.249,0.0
12459268,18249,256,512,2.806907,1,0,0,0,0,7,122,0,260000,52000,1440,793,542,0,0,0,0,0,0,544,0,1500,64076,58218,862,232,634,1448,3,21000,14600,673,12334675,-1,26833107,1656,19866,2732,3270240,9,19863,10484352,2828000,124000,0,18649,0,28582707,969120,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,83.874816,76.4773667242983,81.53327488228146,18.249,0.0,0.0,5.646828,80.62848586885993,18.249,0.0
12503986,18249,256,512,3.256906,1,0,0,0,0,7,122,0,268000,52000,1440,793,450,0,0,0,0,4,0,4,4,1500,64076,67571,1768,232,486,1448,3,21000,14600,779,12378946,-1,31589427,1750,23184,3215,3117600,11,23181,10113798,3280000,144000,0,21953,0,33359187,1121760,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,80.910384,77.5937088758472,82.00411064980077,18.249,0.0,0.0,5.646828,80.16940117521598,18.249,0.0
11954669,18249,256,512,3.8401,1,0,0,0,0,7,122,0,264000,52000,1440,793,453,0,0,0,0,0,0,192,0,1500,64076,62840,911,232,454,1448,3,21000,14600,862,11835123,-1,37877907,1797,27637,3938,2527200,12,27634,10593654,3860000,144000,0,26320,0,39771507,1241280,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,84.749232,78.91025129553918,82.90884091560116,18.249,0.0,0.0,5.646828,82.18944140371345,18.249,0.0
11954669,18249,256,512,4.090082,1,0,0,0,0,7,122,0,244000,52000,1440,793,450,0,0,0,0,0,0,444,12,1500,64076,41792,2289,232,656,1448,3,21000,14600,898,11835123,-1,40302867,1797,29354,4200,3281760,12,29351,9455649,4112000,144000,0,28004,0,42243987,1293120,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,75.645192,78.83043322847806,82.67757956930937,18.249,0.0,0.0,5.646828,79.05106826592915,18.249,0.0
11956644,18249,256,512,4.762009,1,0,0,0,0,7,122,0,248000,52000,1440,793,601,0,0,0,0,28,0,148,56,1500,64076,44527,1210,232,602,1448,3,21000,14600,1006,11837077,-1,47053587,1891,34301,4857,2210400,14,34298,10429858,4784000,144000,0,32692,0,49367667,1448640,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,83.438864,79.04829579280509,82.97916278612661,18.249,0.0,0.0,5.646828,81.82210752631056,18.249,0.0
11709966,18249,320,512,5.056531,1,0,0,0,0,7,122,0,244000,52000,1440,793,389,0,0,0,0,4,0,444,4,1500,64076,38710,734,232,730,1448,3,21000,14600,1035,14491083,-1,50165427,1891,36279,5176,2903040,14,36276,11610575,5080000,144000,0,34853,0,52215987,1490400,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,92.8846,79.36734017847414,82.65233220166158,18.249,0.0,0.0,5.646828,84.96809079337858,18.249,0.0
11709966,18249,256,512,5.142373,1,0,0,0,0,7,122,0,252000,52000,1440,793,379,0,0,0,0,0,0,56,0,1500,64076,46477,1071,232,722,1448,3,21000,14600,1035,11592866,-1,51124467,1938,36935,5304,3384000,15,36932,10519786,5164000,144000,0,35519,0,53160627,1490400,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,84.158288,79.53443595009541,82.74218925776096,18.249,0.0,0.0,5.646828,82.14497106928546,18.249,0.0
11709966,18249,256,512,5.646828,1,3,0,0,0,7,122,0,260000,52000,1440,793,886,440,74,74,0,0,0,72,12,1500,64076,58798,3060,232,446,1448,3,21000,14600,1227,11592866,-1,55779987,2032,40867,5850,2793600,17,40864,9560933,5668000,144000,0,39192,0,58822707,1766880,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,76.487464,79.02487839190427,83.37208783409022,18.249,0.07700312174817898,0.9866666666666667,5.646828,79.62814340866483,18.249,0.07700312174817898
11310596,18249,192,512,5.709658,1,0,0,0,0,7,122,0,256000,52000,1440,793,390,0,0,0,0,0,0,136,0,1500,64076,52013,1243,232,430,1448,3,21000,14600,1227,8398117,-1,57195507,2032,41354,5940,3511050,17,41351,10205193,5732000,144000,0,39735,0,59523987,1766880,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,81.641544,80.13861005335171,83.43723564528733,18.249,0.0,0.0,5.646828,81.73912989954634,18.249,-0.07700312174817898
11918792,18249,256,512,6.121461,1,0,0,0,0,7,122,0,256000,52000,1440,793,528,0,0,0,0,4,0,156,4,1500,64076,55058,5905,232,534,1448,3,21000,14600,1227,11799604,-1,61380147,2079,44398,6481,2115360,18,44395,7862193,6144000,144000,0,42641,0,63907347,1766880,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,62.897544,80.21633659023557,83.55275970883422,18.249,0.0,0.0,5.646828,75.5555467663566,18.249,0.0
11918792,18249,256,512,6.175177,1,0,0,0,0,7,122,0,256000,52000,1440,793,488,0,0,0,0,0,0,4,4,1500,64076,53446,1031,232,534,1448,3,21000,14600,1227,11799604,-1,62085747,2126,44848,6558,2892960,19,44845,10888427,6196000,144000,0,43131,0,64555347,1766880,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,87.107416,80.43267035098751,83.66544958954213,18.249,0.0,0.0,5.646828,83.73517864684321,18.249,0.0
12390518,18249,256,512,6.478919,1,3,0,0,0,7,122,0,256000,52000,1440,793,1101,815,43,43,0,28,0,308,8,1500,64076,55093,1772,232,474,1448,3,21000,14600,1355,12266613,-1,64157907,2126,47028,6798,1363968,19,47025,9357432,6500000,172000,0,45385,0,67694259,1951200,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,74.859456,79.220508236019,83.61928278467443,18.249,0.03755458515283843,0.9772727272727273,5.646828,79.23308234023115,18.249,0.03755458515283843
13950405,18249,256,512,6.833151,1,0,0,0,0,7,122,0,252000,60000,1440,793,579,0,0,0,0,0,0,180,4,1500,64076,51309,5106,232,580,1448,3,21000,14600,1374,13810901,-1,69098547,2267,49958,7194,2034720,22,49955,9185205,6856000,180000,0,48003,0,71910867,1978560,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,73.48164,80.89801849834726,84.22412441931988,18.249,0.0,0.0,5.646828,79.53459430588904,18.249,-0.03755458515283843
11626281,18249,192,512,7.458994,1,0,0,0,0,7,122,0,236000,60000,1440,793,331,0,0,0,0,0,0,320,4,1500,64076,35431,1906,232,576,1448,3,21000,14600,1711,8632514,-1,75535347,2314,54517,7821,3212640,23,54514,10954796,7480000,180000,0,52473,0,78475827,2463840,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,87.638368,81.01397802438238,84.19846429692798,18.249,0.0,0.0,5.646828,84.28360344043678,18.249,0.0
11732196,18249,256,512,7.628935,1,0,0,0,0,7,122,0,228000,60000,1440,793,236,0,0,0,0,0,0,492,4,1500,64076,24823,840,232,696,1448,3,21000,14600,1739,11614874,-1,77066067,2314,55513,7937,3244320,23,55510,10907413,7652000,180000,0,53536,0,79910067,2504160,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,87.259304,80.81449586344621,83.82687229606753,18.249,0.0,0.0,5.646828,83.9668907198379,18.249,0.0
11732196,18249,256,512,7.799654,1,0,0,0,0,7,122,0,240000,60000,1440,793,691,0,0,0,0,16,0,660,68,1500,64076,38544,1782,232,696,1448,3,21000,14600,1739,11614874,-1,78215187,2314,56766,8096,2865600,23,56763,10681404,7820000,180000,0,54334,0,81714387,2504160,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,85.451232,80.22426328142248,83.84273456232802,18.249,0.0,0.0,5.646828,83.17274328125016,18.249,0.0
11986856,18249,256,512,7.937542,1,0,0,0,0,7,122,0,236000,60000,1440,793,323,0,0,0,0,0,0,36,4,1500,64076,33283,2654,232,840,1448,3,21000,14600,1766,11866987,-1,80177907,2361,57788,8265,2858400,24,57785,9605336,7960000,180000,0,55697,0,83186067,2543040,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,76.842688,80.80880151563292,83.86951023377262,18.249,0.0,0.0,5.646828,80.50699991646852,18.249,0.0
11981534,18249,256,512,8.688366,1,0,0,0,0,7,122,0,240000,60000,1440,793,350,0,0,0,0,4,0,340,4,1500,64076,39960,1204,232,606,1448,3,21000,14600,1902,11861719,-1,86967507,2502,62666,8843,2639520,27,62663,11457851,8712000,180000,0,60412,0,90210387,2738880,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,91.662808,80.07720392994494,83.0895383550831,18.249,0.0,0.0,5.646828,84.94318342834269,18.249,0.0
11981534,18249,320,512,9.197199,1,0,0,0,0,7,122,0,252000,60000,1440,793,439,0,0,0,0,0,0,196,4,1500,64076,49769,3215,232,518,1448,3,21000,14600,1944,14827149,-1,92344467,2549,66531,9411,2901600,28,66528,9785073,9220000,180000,0,64146,0,95775987,2799360,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,78.280584,80.3239916848597,83.33375411361655,18.249,0.0,0.0,5.646828,80.64610993282541,18.249,0.0
12698907,18249,256,512,9.282939,1,0,0,0,0,7,122,0,248000,60000,1440,793,411,0,0,0,0,0,0,280,0,1500,64076,46936,1236,232,528,1448,3,21000,14600,1944,12571918,-1,93376947,2549,67220,9536,3335040,28,67217,10876364,9304000,180000,0,64863,0,96768147,2799360,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,87.010912,80.47188245015937,83.4190981972412,18.249,0.0,0.0,5.646828,83.63396421580019,18.249,0.0
12698907,18249,320,512,9.6895,1,3,0,0,0,7,122,0,264000,60000,1440,793,852,389,93,93,0,0,0,100,4,1500,64076,63192,1560,232,463,1448,3,21000,14600,2037,15714898,-1,97131027,2596,70361,10009,1991520,29,70358,10494982,9712000,180000,0,67859,0,101291187,2933280,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,83.959856,80.1948723876361,83.65330718819341,18.249,0.09830866807610994,0.9893617021276596,5.646828,82.60267852527652,18.249,0.09830866807610994
12698907,18249,256,512,9.820376,1,0,0,0,0,7,122,0,256000,60000,1440,793,497,0,0,0,0,4,0,64,8,1500,64076,52098,858,232,502,1448,3,21000,14600,2037,12571918,-1,99062067,2643,71347,10144,2710080,30,71344,10711648,9844000,180000,0,68811,0,102711027,2933280,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,85.693184,80.69920499989003,83.69510902637536,18.249,0.0,0.0,5.646828,83.36249934208847,18.249,-0.09830866807610994
11703958,18249,256,512,10.000388,1,0,0,0,0,7,122,0,228000,60000,1440,793,211,0,0,0,0,4,0,244,4,1500,64076,24973,879,232,704,1448,3,21000,14600,2037,11586918,-1,100948467,2643,72371,10356,2725920,30,72368,10779721,10024000,180000,0,70121,0,104185587,2933280,0,0,0,1585152,ndt-88lvq_1732662732_00000000003C2C54,86.237768,80.75564028115708,83.36815731549616,18.249,0.0,0.0,5.646828,83.45385519888441,18.249,0.0
3644368,18333,739,739,0.115083,1,0,0,0,0,7,120,0,232000,52000,1420,1098,150,0,0,0,0,0,0,116,0,1500,64096,29824,563,2147483647,153,1428,3,0,14400,0,10415064,-1,209155,1682,302,155,1544960,3,300,3644423,128000,0,0,151,0,422155,0,0,0,0,455936,ndt-88lvq_1732662732_00000000003CA9A3,29.155384,14.539419375581103,29.81083218199039,18.333,0.0,0.0,3.866849,24.501878519190498,18.333,0.0
20039964,18333,739,739,0.236298,1,0,0,0,0,7,120,0,232000,52000,1420,1098,357,0,0,0,0,4,0,240,4,1500,64096,30380,783,2147483647,687,1428,3,0,14400,0,57271244,-1,1630663,1682,1515,476,2769000,3,1513,16355013,252000,88000,0,1157,0,2137515,0,0,0,0,526336,ndt-88lvq_1732662732_00000000003CA9A3,130.840104,55.20700132883054,72.8334560597212,18.333,0.0,0.0,3.866849,86.29352046285057,18.333,0.0
